NAME	COUNTRY	SAILNO	MEL	MIA	MAL	HYE	GAR	DEL	SFG	KIE	EUR	SAN	MEL2014	MIA2015	MAL2015	HYE2015	DEL2015
Jakob Lenz	GER	GER-092	-1	-1	52	49	-1	-1	-1	16	49	58	-1	-1	-1	-1	-1
Morgan Good	BEL	BEL-161	-1	-1	53	55	-1	-1	-1	-1	47	57	-1	40	45	-1	33
Finn Heeg	GER	GER-061	-1	-1	55	45	-1	33	-1	11	-1	45	-1	-1	-1	-1	-1
Ascension Roca De Togores	ESP	ESP-207	-1	-1	56	67	-1	-1	-1	-1	68	65	-1	-1	-1	-1	-1
Sofia Bekatorou	GRE	GRE-210	-1	-1	57	38	-1	26	-1	-1	41	33	-1	32	25	26	20
Pablo Defazio Abella	URU	URU-147	-1	-1	59	44	-1	-1	-1	-1	37	39	-1	33	-1	-1	25
Yamil Saba	VEN	VEN-168	-1	-1	60	50	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1
Alicia Clifford	GBR	GBR-152	-1	-1	61	51	-1	29	6	-1	40	48	-1	-1	-1	-1	-1
Eckart Kaphengst	GER	GER-045	-1	-1	62	68	-1	-1	-1	21	56	55	-1	-1	47	-1	-1
Anastasiya Kruchkova	RUS	RUS-13	-1	-1	63	56	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1
Afonso Domingos	POR	POR-020	-1	-1	64	-1	16	-1	-1	-1	71	53	-1	-1	-1	-1	34
Eli Llargués Masachs	ESP	ESP-188	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Stefan Rumpf	GER	GER-10	-1	-1	66	-1	-1	-1	-1	24	67	-1	-1	-1	-1	-1	-1
Nicholas Fadler Martinsen	NOR	NOR-196	-1	-1	67	61	19	32	7	14	51	62	-1	-1	39	37	36
Nancy Tymanova	RUS	RUS-164	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
